"","ID","ZIP.Code","Community.Area","Primary.Property.Type","Gross.Floor.Area...Buildings..sq.ft.","Year.Built","X..of.Buildings","ENERGY.STAR.Score","Electricity.Use..kBtu.","Natural.Gas.Use..kBtu.","Site.EUI..kBtu.sq.ft.","Source.EUI..kBtu.sq.ft.","Weather.Normalized.Site.EUI..kBtu.sq.ft.","Weather.Normalized.Source.EUI..kBtu.sq.ft.","Total.GHG.Emissions..Metric.Tons.CO2e.","GHG.Intensity..kg.CO2e.sq.ft.","total_site_energy_KBTU","log_total_site_energy_KBTU"
"215",252029,"60622","WEST TOWN","Mixed Use Property",121463,1914,1,99,1852849.1,4337400,51,85.4,54.3,87.7,571.9,4.7,6194613,15.6391906013604
"216",252028,"60612","NEAR WEST SIDE","Office",52618,1950,1,100,804123.1,859377.6,31.6,65.1,34.2,67.9,193.9,3.7,1662728.8,14.323970666103
"217",251766,"60660","EDGEWATER","Multifamily Housing",74400,1929,1,73,1898536.8,4970758.6,92.3,150.3,97.2,154,614,8.3,6867120,15.74225536233
"218",251765,"60660","EDGEWATER","Multifamily Housing",139270,1928,1,23,4468467.8,13168551.8,126.6,200,132.2,205.9,1523.1,10.9,17631582,16.6852022837572
"219",251764,"60610","NEAR NORTH SIDE","Multifamily Housing",166322,2011,1,97,2453377.1,6240754.1,52.3,85.7,56.2,89.9,783.7,4.7,8698640.6,15.9786773185425
"220",251763,"60610","NEAR NORTH SIDE","Multifamily Housing",181100,2009,1,94,3024640.8,6346175.3,51.7,89.2,55.5,92.4,894.6,4.9,9362870,16.0522624253859
"221",251762,"60639","BELMONT CRAGIN","K-12 School",101364,1926,1,88,1783682.7,5066057.7,67.6,107.7,76,118.1,597.9,5.9,6852206.4,15.7400812605644
"222",251761,"60623","SOUTH LAWNDALE","K-12 School",108653,1905,1,49,2976270.5,7087586.6,92.6,154.5,103,165.4,925,8.5,10061267.8,16.1242037385524
"223",251760,"60608","LOWER WEST SIDE","K-12 School",73288,1992,1,49,2880107.8,2414001.2,72.2,158,76.4,162.4,659.1,9,5291393.6,15.4815922095938
"224",251759,"60660","EDGEWATER","K-12 School",109399,1997,1,54,3011629.8,5439501.6,77.3,138.6,82.9,144.6,844,7.7,8456542.7,15.9504509837538
"225",251758,"60653","DOUGLAS","K-12 School",70000,1967,1,49,1907200.9,8434853.6,147.7,212.1,163,228.1,800.6,11.4,10339000,16.1514337105688
"226",251757,"60634","DUNNING","K-12 School",93200,1918,1,75,1739396,5742960.9,80.3,123.3,88.7,132.8,625.6,6.7,7483960,15.8282726216264
