"","carto_id","h2o_indoorallsources_KGAL","energy_star_score","property_gfa_self_reported_SF","property_id","department","property_name","ghg_emissions_indirect_MTCO2e","ghg_emissions_direct_MTCO2e","total_ghg_emissions_intensity_KGCO2eSF","total_ghg_emissions_MTCO2e","h2o_allsources_KGAL","weather_norm_source_eui_KBTUSF","weather_norm_site_eui_KBTUSF","source_eui_KBTUSF","site_eui_KBTUSF","total_site_energy_KBTU","log_total_site_energy_KBTU"
"68",71,0,0,7514,3935326,"Fire","Fire Department: 5/61  Fire Station #61",32,18.4,6.8,50.5,462.3,208.3,100.5,205.2,96.5,725101,13.49406623
"69",72,0,0,9683,3935327,"Fire","Fire Department: 5/12  Fire Station #12",31.9,30.2,6.4,62.2,309.3,184,102.7,181.1,96.8,937314.4,13.75077404
"70",73,0,0,7874,3935328,"Fire","Fire Department: 5/105  Fire Station #105",30.1,10.5,6.7,40.6,395.2,195.8,85.8,212.8,89.3,703148.2,13.46332296
"71",74,0,0,11320,3935329,"Fire","Fire Department: 5/33  Fire Station #33",46.6,18.9,6.8,65.6,515.9,203.3,91.4,212.5,92.1,1042572,13.8572013
"72",75,0,0,7600,3935330,"Fire","Fire Department: 5/100  Fire Station #100",30.8,9.1,5.4,39.8,439.6,171.1,73,176.3,71.7,544920,13.20839427
"73",76,0,0,12544,3935331,"Fire","Fire Department: 5/72  Fire Station #72",45.4,11.4,4.9,56.8,306.4,153.9,64,159.5,63,790272,13.58013247
"74",77,0,0,13153,3935332,"Fire","Fire Department: 5/89  Fire Station #89",68.1,15.9,6.4,83.9,1385.1,204,83.4,211.1,82.4,1083807.2,13.89599059
"75",78,0,0,9270,3935333,"Fire","Fire Department: 5/73  Fire Station #73",41.6,13.7,6.9,55.3,328.1,212.8,96.1,221.2,91.8,850986,13.65415096
"76",79,0,0,11764,3935334,"Fire","Fire Department: 5/74  Fire Station #74",26.4,12.4,5.8,38.8,415.7,167.8,79,180,80.6,948178.4,13.76229795
"77",80,0,0,14760,3935335,"Fire","Fire Department: 5/90  Fire Station #90",52.1,24.5,6.9,76.6,480.2,212.7,103.5,214.2,96,1416960,14.16402429
"78",81,0,0,7462,3935336,"Fire","Fire Department: 5/104 Fire Station #104",27.2,10.3,5,37.5,303.8,152.9,70.8,159.1,67.9,506669.8,13.13561479
"79",82,0,0,24759,3935337,"Fire","Fire Department: 5/5C  Fire Station #5C",84,12.8,3.9,96.7,487.1,126.7,46.8,133,48.8,1208239.2,14.00467465
"80",83,0,0,14673,3935338,"Fire","Fire Department: 5/77  Fire Station #77",51,20.1,4.8,71.1,585.8,161.4,76,152.8,65.8,965483.4,13.78038419
"81",84,0,0,15566,3935339,"Fire","Fire Department: 5/70  Fire Station #70",34.1,15.5,3.9,49.5,1653.5,118.6,56.1,120.4,53.5,832781,13.63252598
"82",85,0,0,9455,3935340,"Libraries:","Libraries: 51/034 John Muir Library",49.1,7.8,6.7,56.8,55.8,217.5,83.7,227.4,83.9,793274.5,13.58392459
"83",86,0,0,16505,3935341,"Libraries:","Libraries:  51/043 Alma Reaves Woods-Watts Library",43.5,6.6,4,50.1,145.1,135.3,52.1,136.3,50,825250,13.62344165
"84",87,0,0,11310,3935342,"Libraries:","Libraries: 51/056 Granada Hill Library",45.6,8,4.9,53.6,144,157.7,62.6,164,61.3,693303,13.44922241
"85",88,0,0,25846,3935343,"Libraries:","Libraries: 51/070 Pico Union Library #72",67.6,1.4,5.5,68.9,287.8,192.7,62.9,197.8,64.3,1661897.8,14.32347076
"86",89,0,0,13740,3935344,"Libraries:","Libraries: 51/027 West Los Angeles Library",37.6,6.3,3.2,44,206.3,100.3,37.7,108.2,40.2,552348,13.22193356
"87",90,0,0,12700,3935345,"Libraries:","Libraries:  51/067 Porter Ranch Library",42.2,6.8,4,49,800.1,134.1,51.5,135,49.9,633730,13.35937828
"88",91,0,0,10750,3935346,"Libraries:","Libraries: 51/028 Cypress Park Library",52.5,1.1,5,53.7,116.6,180.1,59,178.9,58.3,626725,13.34826313
"89",92,0,0,14961,3935347,"Libraries:","Libraries: 51/016 Brentwood Library",43.6,3.4,4.5,47,99.4,145.2,50.3,158.2,54.4,813878.4,13.60956625
"90",93,0,0,12650,3935348,"Libraries:","Libraries: 51/030 Ascot Library",48.7,1.8,4.8,50.5,153.3,162.8,54.7,171.3,56.8,718520,13.48494882
"91",94,0,0,12649,3935349,"Libraries:","Libraries: 51/062 Lake View Terrace Library",37.8,8.8,4.4,46.6,114.1,144.6,59.5,144,56.2,710873.8,13.4742502
"92",95,0,0,12006,3935350,"Libraries:","Libraries: 51/038 Mar Vista Library #38",51.2,9.9,5.1,61.1,377.1,165.7,67.1,170.5,64.6,775587.6,13.56137621
