parcel,zip,floor_area_SF,property_type_self_reported,energy_star_score_2017,site_eui_KBTUSF_2017,source_eui_KBTUSF_2017,percent_better_nat_med_site_eui_2017,percent_better_nat_med_source_eui_2017,total_ghg_emissions_MTCO2e_2017,total_ghg_intensity_kgCO2eSF_2017,weather_norm_site_eui_KBTUSF_2017,weather_norm_source_eui_KBTUSF_2017,total_site_energy_KBTU,log_total_site_energy_KBTU,Neighborhood.Code,Neighborhood.Code.Definition,Volume.Number,Property.Class.Code,Year.Property.Built,Number.of.Bathrooms,Number.of.Bedrooms,Number.of.Rooms,Number.of.Stories,Number.of.Units,Zoning.Code,Construction.Type,Lot.Depth,Lot.Frontage,Property.Area.in.Square.Feet,Basement.Area,Lot.Area,Lot.Code,Tax.Rate.Area.Code,Percent.of.Ownership,Closed.Roll.Misc.Exemption.Value,Closed.Roll.Homeowner.Exemption.Value,Current.Sales.Date,Closed.Roll.Assessed.Fixtures.Value,Closed.Roll.Assessed.Improvement.Value,Closed.Roll.Assessed.Land.Value,Closed.Roll.Assessed.Personal.Prop.Value,Supervisor.District,Neighborhoods...Analysis.Boundaries
3532/035,94103,12080,Office,98,30.2,79,-64,-64,25.6,2.1,31.4,80.2,364816,12.8071484,09C,Inner ission,23,C,1907,0,0,12,2,5,CM,C,0,0,12080,0,5998,,1000,1,0,0,11/14/97,0,390767,390767,0,9,Mission
0676/033,94115,83780,Hotel,93,55.2,115.2,-43.2,-43.2,255.3,3.6,55,114.5,4624656,15.34691255,06C,Lower Pacific Heights,5,H1,1975,0,0,156,8,134,NC2,B,0,0,71780,0,0,,1007,0.175,0,0,5/4/60,1365623,3176332,4764506,1013943,5,Pacific Heights
0329/002A,94102,14300,Strip Mall,95,32.7,102.7,-56.8,-56.8,35.5,2.5,32.2,101,467610,13.05538989,08F,Van Ness/ Civic Center,6,C,1907,0,NA,48,4,1,C3G,C,70.42,0,12502,0,7906,R,1000,1,0,0,6/19/30,0,194864,762004,0,6,Tenderloin
0316/001A,94102,66282,Performing Arts,6,49.7,136.7,60.6,60.6,235.9,3.6,49.7,136.7,3294215.4,15.00767858,08I,,3,T,1909,0,0,0,1,1,C3G,A,0,0,0,0,14906,,1000,1,1853632,0,,0,392204,1461428,0,3,Tenderloin
0260/008,94104,22694,Office,99,41,43,-67.5,-67.5,49.4,2.2,42.9,45.1,930454,13.74342792,08B,Financial District North,3,O,1907,0,0,44,7,1,C3O,B,0,0,21420,0,3057,,1000,1,0,0,2/2/71,0,4607481,4875357,0,3,Financial District/South Beach
0260/003,94104,24444,Office,92,36.7,95,-48.7,-48.7,65.5,2.7,38,96.6,897094.8,13.70691682,08B,Financial District North,3,O,1925,0,0,30,6,1,C3O,A,0,0,18963,0,3541,,1000,1,0,0,,0,610830,565783,0,3,Financial District/South Beach
0503/030,94123,107743,Hotel,70,41,81,-18.3,-18.3,279.1,2.6,41.4,82.1,4417463,15.30107611,07D,Cow Hollow,4,M,1972,0,0,143,11,140,RC3,C,0,0,62520,0,17193,O,1000,1,0,0,,0,8581040,3432406,0,2,Marina
3788/024,94107,24500,Office,53,85.7,203.4,-3.6,-3.6,141.8,5.8,89.9,207.8,2099650,14.55728122,09H,South Beach,25,I,1928,0,0,16,2,0,SLI,C,0,0,15400,0,17363,,1000,1,0,0,,0,324896,264589,0,6,Financial District/South Beach
1433/037,94118,12872,Other - Recreation,63,31,85.3,-11.9,-11.9,28.6,2.2,31.3,85.7,399032,12.89679689,01B,Inner Richmond,10,C,1908,0,0,10,3,4,INCLEM,D,0,0,12872,0,5000,R,1000,1,0,0,10/23/96,0,1235619,863600,0,1,Inner Richmond
0297/007,94102,118969,Social/Meeting Hall,7,77.2,124,77.6,77.6,543.3,4.6,81.6,128.6,9184406.8,16.03301769,08I,,3,U,1934,0,0,65,4,2,C3G,C,0,0,118969,0,18634,,1000,1,0,0,,3383642,2350011,2050317,7383699,3,Nob Hill
