parcel,zip,floor_area_SF,property_type_self_reported,energy_star_score_2017,site_eui_KBTUSF_2017,source_eui_KBTUSF_2017,percent_better_nat_med_site_eui_2017,percent_better_nat_med_source_eui_2017,total_ghg_emissions_MTCO2e_2017,total_ghg_intensity_kgCO2eSF_2017,weather_norm_site_eui_KBTUSF_2017,weather_norm_source_eui_KBTUSF_2017,total_site_energy_KBTU,log_total_site_energy_KBTU,Neighborhood.Code,Neighborhood.Code.Definition,Volume.Number,Property.Class.Code,Year.Property.Built,Number.of.Bathrooms,Number.of.Bedrooms,Number.of.Rooms,Number.of.Stories,Number.of.Units,Zoning.Code,Construction.Type,Lot.Depth,Lot.Frontage,Property.Area.in.Square.Feet,Basement.Area,Lot.Area,Lot.Code,Tax.Rate.Area.Code,Percent.of.Ownership,Closed.Roll.Misc.Exemption.Value,Closed.Roll.Homeowner.Exemption.Value,Current.Sales.Date,Closed.Roll.Assessed.Fixtures.Value,Closed.Roll.Assessed.Improvement.Value,Closed.Roll.Assessed.Land.Value,Closed.Roll.Assessed.Personal.Prop.Value,Supervisor.District,Neighborhoods...Analysis.Boundaries
3722/007,94105,67807,Office,49,92.9,191.1,0.5,0.5,403.6,6,92.9,191.1,6299270.3,15.65594436,08I,,25,C,1925,0,NA,27,5,10,C3R,C,95,0,57825,5714,9480.64,R,1000,1,0,0,5/1/89,0,5776982,2941418,0,6,Financial District/South Beach
8721/011,94107,313575,Office,85,64.9,174.7,-37.8,-37.8,1444,4.6,65,174,20351017.5,16.82864147,09D,Mission Bay,44,MB,2002,0,0,0,6,0,,,93.2,0,310000,0,80630,,1014,1,0,0,8/31/12,0,149586051,50227000,0,6,Mission Bay
0270/007,94108,43557,College/University,80,78.2,170.4,-35.1,-35.1,242,5.6,85.1,178.8,3406157.4,15.04109535,08B,Financial District North,3,E,1915,0,0,20,3,1,C3O,C,0,0,42652,0,13198,,1000,1,0,0,1/3/94,0,554610,1247884,0,3,Financial District/South Beach
3777/055,94107,13000,Retail Store,95,24.5,52.7,-54,-54,20.7,1.6,26.9,55.2,318500,12.67137775,09D,Mission Bay,25,I,1986,0,0,0,2,0,SLI,S,85,0,13000,0,6375,R,1000,1,0,0,,19895,422165,417878,23435,6,South of Market
0057/001,94111,142446,Office,90,48.9,123.3,-46,-46,481.1,3.4,50.3,124.8,6965609.4,15.75649566,08H,North Waterfront,1,O,1976,0,0,0,4,0,C2,A,0,0,142968,0,87089,,1000,1,0,0,,0,0,0,0,3,North Beach
0717/013,94109,12920,Movie Theater,3,78.3,171.8,101.9,101.9,66.3,5.1,82.9,176.7,1011636,13.82707938,08C,Nob Hill,1,H2,1980,0,NA,0,2,0,NBEACH,A,0,0,17237,0,226675,,1000,1,51224894,0,,0,154097,1592700,0,2,Russian Hill
7284/001,94132,67608,Other,7,122,222,80.3,80.3,507.2,7.5,122,222,8248176,15.92550264,03A,Lake Shore,44,GC,1920,0,0,18,3,0,RH1D,D,0,0,61330,2365,4774158,,1000,1,0,0,,14997055,9713939,1669146,1430305,7,Lakeshore
3735/008,94105,35415,Office,46,93.1,197.4,3.8,3.8,213.5,6,93.1,197.4,3297136.5,15.00856492,09B,,25,O,1900,0,0,149,4,0,C3S,A,95,0,28720,0,8075,R,1005,1,0,0,2/23/51,0,4960841,2229589,0,6,Financial District/South Beach
1071/001,94118,14000,Supermarket/Grocery Store,100,136.7,143.5,-72.1,-72.1,101.6,7.3,142,149.1,1913800,14.46460135,01C,Jordan Park/Laurel Heights,8,X,1900,0,0,0,0,0,NC3,,0,0,0,0,55303,,1000,1,0,0,,0,989925,1100118,0,2,Presidio Heights
0021/001,94133,51656,Social/Meeting Hall,32,43,81,16,16,84.7,2.7,47.6,87.9,2221208,14.61356175,08H,North Waterfront,1,U,1958,0,0,25,2,2,C2,C,12.5,0,31656,0,113437.5,R,1000,1,0,0,,0,966673,5672402,0,3,North Beach
0311/007,94104,262125,Office,91,43.9,120.2,-46.9,-46.9,780.6,3.1,44.7,121,11507287.5,16.25849109,08I,,3,O,1986,0,0,0,21,0,C3O,A,55,0,260624,0,2200,R,1000,1,0,0,7/22/99,0,12538044,1522111,0,3,Financial District/South Beach
0103/014,94133,15000,Office,69,52.7,125.1,-15.5,-15.5,53.3,3.6,56.1,128.8,790500,13.58042094,08G,Telegraph Hill,1,O,1927,0,0,30,3,5,NBEACH,C,86.1,0,17075,0,6242.25,R,1000,1,0,0,11/10/88,0,1530852,1530852,0,3,North Beach
3515/040,94103,57690,Retail Store,90,23.2,73,-49.9,-49.9,69.9,1.8,23.2,73,1338408,14.10699141,09F,South of Market,23,I,1953,0,0,0,1,1,M1,C,0,0,39690,0,58000,O,1000,1,0,0,,0,868746,1666522,0,6,Mission
3705Z/001,94103,103350,Hotel,49,117.2,203.3,0.9,0.9,733.4,7.1,117.9,204,12112620,16.30975844,09C,Inner ission,27,I,1907,0,NA,0,8,343,M2,A,50,0,54186,0,111099,R,1000,1,0,0,,0,7890681,11147962,4015503,10,Mission
0211/002,94108,16327,Worship Facility,86,14.9,27.3,-41.9,-41.9,15,0.9,16.6,29.1,243272.3,12.40193667,08C,Nob Hill,2,W,1907,0,0,12,3,1,CRNC,C,0,0,18000,4500,6529,,1000,1,1673953,0,,0,1347910,326043,0,3,Chinatown
3704/034,94103,19052,Office,100,13.5,42.4,-71.4,-71.4,19.5,1,13.5,42.4,257202,12.45761705,08I,,3,O,1916,0,NA,93,2,0,C3O,B,0,0,14000,0,8163,O,1000,0.2,0,0,,72000,1483330,497101,0,3,Financial District/South Beach
3962/010,94110,32200,Worship Facility,68,17.8,34.9,-20.7,-20.7,36.1,1.1,18.9,36,573160,13.25892019,09C,Inner ission,26,O,1911,0,0,76,4,0,M1,A,6,0,35725,0,15900,R,1000,1,6528714,0,,2295120,3061716,1071592,100286,10,Mission
3940/003,94158,347120,Laboratory,1,270,561.7,356.3,356.3,4149.1,17.4,272.4,561.9,93722400,18.35584778,09E,Potrero Hill,26,G,2008,0,0,0,2,0,,,0,0,237216,0,0,,1014,1,0,0,10/25/11,0,27229771,7134695,0,6,Mission Bay
3938/001,94103,100850,Office,38,46.4,139.2,13.1,13.1,347.9,3.4,46.4,139.2,4679440,15.358689,09D,Mission Bay,26,I,1938,0,0,32,2,3,M2,C,0,0,0,0,79997,,1000,1,0,0,,264352,1330409,886933,165477,10,Mission Bay
2411/001,94116,20400,Worship Facility,100,9.9,29.2,-62,-62,10.6,0.7,10.1,29.4,201960,12.21582494,04T,West Portal,17,O,1972,0,0,48,2,0,NC2,B,0,0,13666,0,6830,,1000,1,152684,0,7/31/90,0,737094,2316583,0,7,West of Twin Peaks
0291/013,94104,10883,Office,49,53.7,149.6,1,1,42.1,3.9,55.3,151.2,584417.1,13.27837022,08B,Financial District North,3,O,1922,0,0,17,2,3,C3O,C,0,0,16195,0,0,,1000,0.5,0,0,9/29/95,0,880860,2032790,0,3,Financial District/South Beach
3788/037,94107,78389,Office,95,44.3,133.8,-54.9,-54.9,249.7,3.3,44.3,133.8,3472632.7,15.06042357,09H,South Beach,25,O,1909,0,0,32,6,0,SSO,B,60,0,80640,0,17000,R,1000,1,0,0,11/15/11,0,10246308,20492616,0,6,Financial District/South Beach
0259/026,94104,1978104,Office,78,75.2,177.7,-29.5,-29.5,9804,5.4,76.4,179.1,148753420.8,18.8178006,08B,Financial District North,3,OAT,1969,0,0,0,52,0,C3O,A,0,0,1471929,0,83834.51,O,1000,1,0,0,3/6/60,0,666112741,279169075,0,3,Financial District/South Beach
0642/001,94109,41100,Office,63,53.9,168.1,-12.7,-12.7,122.7,4.1,53.9,168.1,2215290,14.61089388,07B,Pacific Heights,5,C,1919,0,0,21,4,0,RC4,B,2.68,0,41100,0,10268,R,1000,0.026,0,0,,0,2715930,1180519,0,2,Pacific Heights
3550/012,94103,34000,Other,7,106.7,193.1,56.8,56.8,222.7,6.5,110.5,197,3627800,15.10413696,09C,Inner ission,23,I,1924,0,0,5,2,2,M1,C,0,0,33166,0,23735,,1000,0.5,0,0,9/28/50,0,908771,2104071,0,9,Mission
3901/003,94103,45322,Retail Store,95,59.8,186.9,-59.9,-59.9,205,4.5,59.8,186.9,2710255.6,14.81255351,09B,,25,O,1937,0,NA,7,3,0,C3OSD,A,45.83,0,39021,0,6333,R,1016,1,0,0,2/21/71,0,5246098,3495431,0,6,Financial District/South Beach
0233/044,94111,1068638,Office,88,74.9,184.5,-41.2,-41.2,4836.2,5.1,76.9,186.6,80040986.2,18.19804939,08I,,5,O,2002,0,NA,562,23,360,C3R,A,0,57.5,426760,4657,0,O,1014,1,0,0,9/15/11,10358069,44125681,3552993,2942351,3,Financial District/South Beach
0262/018,94111,95289,Office,72,56.5,157.6,-23.2,-23.2,399.1,4.2,57.2,158.4,5383828.5,15.4989103,08B,Financial District North,3,O,1956,0,0,0,7,0,C3O,B,0,0,96082,0,14730,O,1000,1,0,0,5/9/95,0,5892045,8221465,0,3,Financial District/South Beach
0692/013,94109,40042,Mixed Use Property,6,94.3,186.5,51.5,51.5,143.3,6,95.9,188.1,3775960.6,15.14416537,08A,Dowtown,5,C,1910,0,0,9,1,9,POLK,B,37.5,0,0,0,16500,R,1000,1,0,0,,0,186946,474941,0,3,Nob Hill
0056/007,94133,252060,Office,57,108.8,224.6,-7.2,-7.2,1020.8,7,107.3,219.8,27424128,17.12693377,01E,Outer Richmond,11,O,1964,0,NA,0,5,1,NC3,,0,0,161810,0,11469,O,1000,1,0,0,6/29/12,0,25902621,13286293,0,1,Outer Richmond
3706/001,94103,148192,Office,97,36.8,98.7,-58.5,-58.5,400.1,2.7,37.7,99.8,5453465.6,15.51176185,08B,Financial District North,3,O,1906,0,NA,260,10,2,C3R,,0,0,116810,0,21331,O,1002,1,0,0,4/28/95,0,2773091,3344385,0,3,Financial District/South Beach
0194/009,94108,13200,Mixed Use Property,100,2,6.1,-95,-95,2,0.1,2,6.1,26400,10.18111929,08B,Financial District North,2,C,1907,0,0,9,3,1,CVR,C,0,0,10229,0,3767,R,1000,1,0,0,,0,1433425,1592700,270,3,Chinatown
1608/018,94121,15350,Worship Facility,92,14.7,36.4,-50.7,-50.7,15.5,1,15,36.7,225645,12.32671825,01E,Outer Richmond,12,W,1947,0,0,20,1,2,NC2,D,0,0,15350,0,12000,R,1000,1,3758201,0,,0,3795000,663632,12950,1,Outer Richmond
0231/023,94111,1124443,Office,95,52.2,151.6,-51.9,-51.9,2983.9,3.8,52.7,152.1,58695924.6,17.88788085,09B,,24,OC,1929,529,NA,591,6,402,C3S,C,0,28.5,692000,0,85547,O,1005,1,0,0,11/15/11,14087299,13012000,15308636,560926,6,Nob Hill
0670/012,94109,30964,,90,29.2,72.2,-45,-45,62,2,30.8,73.8,904148.8,13.71474923,08F,Van Ness/ Civic Center,5,C,1911,0,0,12,3,0,RC4,C,0,0,0,0,9957,,1000,1,0,0,,0,395963,237077,0,3,Nob Hill
8709/018,94158,167930,Urgent Care/Clinic/Other Outpatient,3,226.9,472.1,158.4,158.4,2450.9,14.6,227.9,471.3,38103317,17.4558119,09D,Mission Bay,44,O,2009,0,0,0,6,0,,,0,0,164464,0,45855,,1014,1,27498069,0,,0,65222803,5034661,0,6,Mission Bay
4347A/004,94124,207588,Distribution Center,94,18.7,52.5,-58.5,-58.5,151.5,1.4,18.9,52.7,3881895.6,15.17183415,10A,Bayview,28,I,2003,0,0,0,2,0,PDR2,,0,0,108793,3300,181269,O,1018,1,0,0,12/14/11,0,12885756,19328635,0,10,Bayview Hunters Point
0266/001,94111,247000,Office,91,59.1,154.4,-46.7,-46.7,1023.3,4.1,60.6,156,14597700,16.49637454,08B,Financial District North,3,O,1963,0,0,0,19,0,C3O,A,91.67,0,206034,0,12613.79,R,1000,1,0,0,5/22/95,0,21562172,10961956,0,3,Financial District/South Beach
0241/027,94108,446640,Office,85,60.2,175.1,-37.5,-37.5,1530.3,4.4,61.5,176.5,26887728,17.10718053,08B,Financial District North,3,O,1991,0,0,0,20,0,C3O,,0,0,403629,0,31797.01,O,1000,1,0,0,6/29/12,0,63608971,109293768,0,3,Chinatown
0059/003,94111,47618,Office,95,41.5,107.8,-53.3,-53.3,126.3,2.9,43.9,110.3,1976147,14.49665955,08H,North Waterfront,1,O,1907,0,0,17,3,1,C2,C,37.5,0,39796,0,18906.25,R,1000,1,0,0,4/28/92,0,1190547,3029382,0,3,Financial District/South Beach
3722/022,94105,190066,College/University,24,136.3,332.4,26.6,26.6,1875.8,9.9,136.3,332.4,25905995.8,17.069985,09B,,25,VCI,1989,0,0,0,0,0,C3OSD,,0,0,0,0,2247,,1000,1,0,0,4/28/95,0,0,274040,0,6,Financial District/South Beach
3707/057,94105,135371,Office,92,53.8,117.6,-48.9,-48.9,518.1,3.8,55.4,119.6,7282959.8,15.8010479,09B,,25,O,1909,0,0,364,13,6,C3O,A,0,0,0,0,13333,,1000,1,0,0,,1360808,2167470,3032767,606229,6,Financial District/South Beach
3713/006,94105,484663,Office,91,49.6,143.6,-47.3,-47.3,1794.2,3.7,50.4,144.6,24039284.8,16.99519992,09H,South Beach,25,O,1979,0,0,0,43,0,C3O,A,0,0,1534312,0,113198.4,O,1000,1,0,0,,0,547998717,226393536,0,6,Financial District/South Beach
7296/006,94132,176000,Retail Store,84,45.6,125.3,-41.9,-41.9,574.2,3.3,45.6,125.3,8025600,15.89814699,03D,Stonestown,44,CD,1988,0,0,0,0,0,C2,D,0,0,176000,0,0,,1000,1,0,0,8/17/40,0,24014087,4372137,0,7,Lakeshore
3721/119,94105,273783,Office,90,40,125.7,-44.2,-44.2,752.9,3,40,125.7,10951320,16.20897055,09B,,25,O,2003,0,0,0,10,0,C3O,C,0,0,0,0,32189,,1016,1,0,0,6/20/12,0,117362236,50298101,43362,6,Financial District/South Beach
3508/001,94103,829730,Office,97,52.4,139.2,-58.1,-58.1,2773.3,3.7,52.9,138.8,43477852,17.58776222,09F,South of Market,23,O,1937,0,0,99,11,0,C3G,B,0,0,741667,0,85547,,1000,1,0,0,3/11/11,0,30994519,65111188,56247,6,South of Market
3529/051,94103,23520,Retail Store,28,49.1,153.6,34.3,34.3,87.4,3.7,49.1,153.6,1154832,13.95946544,09F,South of Market,23,C,1996,0,0,0,1,0,MI,D,0,0,23520,0,0,,1000,1,0,0,,0,2171445,806131,0,9,Mission
3572/024,94110,42060,Office,99,14.8,43.6,-68.3,-68.3,45.9,1.1,15.1,43.7,622488,13.34147963,09C,Inner ission,23,O,1980,0,0,42,2,3,M1,C,0,0,31145,0,56088,O,1000,1,0,0,,29967596,2570546,4476077,49895366,9,Mission
0327/001,94102,135358,Office,98,25.2,75.9,-65.1,-65.1,254.1,1.9,25,75.2,3411021.6,15.04252239,08I,,3,C,1989,0,0,0,8,9,C3R,A,82.5,27.5,100715,0,2268.75,R,1000,1,0,0,,0,4924537,1660261,0,3,Financial District/South Beach
3701/060,94103,274450,Hotel,82,66.1,140.8,-27.9,-27.9,889,4.3,66.5,141.2,18141145,16.71369312,09B,,25,O,1916,0,NA,0,3,0,C3O,C,0,0,137747,0,17000,,1000,1,0,0,9/12/88,0,27727124,19795207,0,6,Financial District/South Beach
0270/042,94108,55751,Hotel,98,33.7,96.9,-55.4,-55.4,137,2.5,33.1,95.3,1878808.7,14.44614846,08B,Financial District North,3,H1,2007,0,0,86,10,85,C3R,,0,0,28535,0,5675,O,1000,1,0,0,8/20/40,0,19454290,6060700,0,3,Financial District/South Beach
1458/041,94121,16500,Worship Facility,71,34.9,52.6,-23.1,-23.1,33.5,2,37.2,55.4,575850,13.26360249,01A,Central Richmond,11,W,1965,0,0,18,1,0,OTCLEM,C,0,0,16586,8797,13830,,1000,1,1850051,0,,0,1500072,349979,0,1,Outer Richmond
3986/001,94107,66000,Other,84,183.1,427.2,-32.5,NA,810.5,12.3,183.1,427.2,12084600,16.30744247,09E,Potrero Hill,26,I,1948,0,0,17,2,0,M1,C,0,0,64966,0,44997,,1000,1,0,0,,0,536005,384092,0,10,Potrero Hill
3789/007,94107,174765,Office,92,36.6,113.7,-47.2,-47.2,390.2,2.8,35.9,111.5,6396399,15.67124573,08I,,3,O,1912,0,NA,0,4,0,C3R,,0,37.5,237216,0,34800,,1000,1,0,0,12/19/94,0,22152869,22541877,0,3,Financial District/South Beach
0618/001,94109,107908,College/University,99,26.2,82.2,-68.7,-68.7,214.2,2,26.2,82.2,2827189.6,14.8547937,07B,Pacific Heights,5,C,1920,0,0,16,4,0,RC4,B,90,0,63608,0,13680,R,1000,1,0,0,6/9/98,0,4559019,6512885,0,2,Pacific Heights
8709/008,94107,200280,Laboratory,4,317.8,626.3,408.7,408.7,4017.7,20.1,318.6,625,63648984,17.96889392,09F,South of Market,5,H2,1907,0,NA,5,0,0,C3G,B,80,0,0,2389,57024,R,1000,1,0,0,,0,639434,93336,0,3,Mission
4023/004,94110,21323,Office,87,41,87.4,-41,-41,56.7,2.7,44,90.5,874243,13.68111365,09C,Inner ission,26,O,1908,0,0,16,2,2,M1,C,50,0,21000,0,15000,R,1000,1,0,0,2/24/40,0,811880,1507781,0,10,Mission
0228/013,94111,17795,Office,64,59.7,136.9,-15.2,-15.2,70.8,4,63.3,140.6,1062361.5,13.87600482,08B,Financial District North,2,O,1918,0,0,10,2,2,C3O,A,0,0,10980,0,5397,,1000,0.2,0,0,4/26/50,0,2176851,4136032,0,3,Chinatown
0240/007,94104,364985,Office,93,53.6,131,-49.8,-49.8,2866.5,8.1,54.3,131.7,19563196,16.7891606,08B,Financial District North,3,O,1984,0,0,0,23,0,C3O,A,29,0,357700,0,16125,R,1000,1,0,0,12/21/95,0,50695365,55739820,0,3,Financial District/South Beach
3763/016,94107,21805,Other,86,27.2,73.8,-40,-40,42.2,1.9,28.8,75.6,593096,13.29311155,09B,,25,I,1944,0,0,15,2,0,SLI,C,0,0,17237,0,14941,,1000,1,0,0,2/6/71,0,1136300,3053793,0,6,Financial District/South Beach
3788/042,94107,185602,,97,57.6,153.3,-58.4,-58.4,755.2,4.1,57.6,153.3,10690675.2,16.18488244,09B,,25,E,1911,0,NA,158,7,0,M1,A,92.75,0,161650,0,6347.5,R,1000,1,0,0,8/5/91,0,21286366,3567345,3186,6,Financial District/South Beach
4025/003B,94110,14000,Office,100,3.3,10.3,-90.5,-90.5,3.5,0.2,4,12.4,46200,10.74073508,09C,Inner ission,26,I,1932,0,0,17,1,0,M1,C,0,0,14000,0,10000,O,1000,1,0,0,1/31/30,0,1181482,1181482,0,10,Potrero Hill
0263/011,94111,1464955,Office,96,42.1,119.1,-55.7,-55.7,4221.4,3.1,43.1,120.1,61674605.5,17.93738282,08B,Financial District North,3,OAH,1983,0,0,0,48,0,C3O,A,75,0,1300000,0,75625,S,1000,1,0,0,,0,252125179,68512270,0,3,Financial District/South Beach
0112/008,94111,29189,Office,84,43.9,115.2,-35.4,-35.4,74.6,3.1,43.9,115.2,1281397.1,14.06346153,08H,North Waterfront,1,C,1919,0,0,14,2,9,C2,C,20,0,29772,0,11700,R,1000,0.2968,0,0,,0,2891070,2017026,0,3,Financial District/South Beach
0611/001A,94115,18911,Veterinary Office,27,93.9,221.5,21.2,21.2,119.6,6.3,95.8,223.5,1775742.9,14.38972943,07B,Pacific Heights,5,OMD,1924,0,0,8,3,1,FILLMR,B,0,0,18911,3157,7967,,1000,1,2435997,0,,0,2243776,192221,0,2,Pacific Heights
0313/017,94108,247617,Retail Store,82,40.5,123.2,-39,-39,749.9,3,40.5,123.2,10028488.5,16.12094045,08I,,3,CD,1974,0,0,0,7,1,C3R,A,0,57.5,263640,0,0,,1000,1,0,0,,0,68786316,31515637,0,3,Financial District/South Beach
1517/037,94121,22900,Supermarket/Grocery Store,44,133.4,365.6,3.2,3.2,117.9,9.5,134.3,365,3054860,14.93224432,01A,Central Richmond,11,C,1957,0,0,6,1,0,NC3,C,0,0,12360,0,22900,O,1000,0.25613,0,0,,0,1179272,1801855,0,1,Outer Richmond
0111/001,94111,39992,Office,16,87.9,266.2,44.6,44.6,180.4,6.6,86.7,262.3,3515296.8,15.07263452,08H,North Waterfront,1,O,1906,0,0,0,2,1,C2,B,20,0,30000,0,15000,R,1000,0.16666,0,0,,0,5056082,2461839,0,3,Financial District/South Beach
3707/001,94105,58822,Office,94,45.9,91.7,-52.9,-52.9,171.2,2.9,48.9,94.8,2699929.8,14.80873633,09B,,25,O,1917,0,0,133,15,0,C3O,A,91.5,0,58822,0,4117.5,R,1000,1,0,0,,0,411063,1096187,0,6,Financial District/South Beach
8721/010,94158,305000,Office,98,56.2,147.6,-63.4,-63.4,1204.7,3.9,57.1,148.5,17141000,16.65698381,09D,Mission Bay,44,OAH,2008,0,0,0,6,0,,,0,0,319279,0,80609,,1014,0.0556,0,0,6/12/80,0,39735589,59603386,0,6,Mission Bay
0204/023,94111,13491,Other,74,30.1,93,-24.5,-24.5,30.6,2.3,29.2,90.2,406079.1,12.91430325,08B,Financial District North,2,C,1967,0,0,5,1,2,C3O,B,0,0,16302,0,16301.85,O,1001,1,0,0,4/26/70,0,2633978,3715986,0,3,Financial District/South Beach
0025/014,94109,32776,Office,94,22.2,58.7,-51.8,-51.8,51.3,1.6,23.2,59.8,727627.2,13.49754411,08E,Russian Hill,1,O,1912,0,0,5,4,5,C2,C,68.75,0,38247,0,9453.13,R,1000,1,0,0,,0,1051049,496791,0,2,Russian Hill
0574/012,94109,15429,Fitness Center/Health Club/Gym,4,66.4,183.4,89.4,89.4,51.6,4.8,66.9,181.7,1024485.6,13.83970119,08C,Nob Hill,5,O,1922,0,0,11,2,1,POLK,B,0,0,15524,0,7762,O,1000,0.33464,0,0,,0,848066,737253,0,3,Russian Hill
0310/005,94108,19260,Office,100,22.2,25.5,-85.2,-85.2,23.2,1.2,25.3,28.7,427572,12.96587797,08I,,3,O,1907,0,0,50,8,4,C3O,A,0,0,19260,0,2469,,1000,0.4147,0,0,,0,348026,491952,0,3,Financial District/South Beach
0287/011,94108,13608,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",37,37.5,109.1,8.6,8.6,37.4,2.8,37.8,109.4,510300,13.14275407,08I,,3,O,1911,0,0,28,7,1,C3R,A,0,0,14850,0,1799,O,1000,1,0,0,2/12/31,0,1739747,3305523,0,3,Financial District/South Beach
0309/021,94108,20986,Office,66,35.1,110.4,-17.3,-17.3,55.9,2.7,34.6,108.6,736608.6,13.50981196,08I,,3,C,1908,0,0,15,6,4,C3R,C,0,33.57,20986,0,2352,,1000,1,0,0,,0,1071574,1618551,0,3,Financial District/South Beach
3714/019,94105,142726,Hotel,66,93.9,166.7,-14,-14,817.4,5.7,95.4,168.4,13401971.4,16.41091237,08I,,3,O,1987,0,NA,140,4,1,M2,B,91.67,0,63852,0,8718.75,R,1000,1,0,0,1/6/10,2967868,4685456,3239888,2429607,3,Financial District/South Beach
0040/017,94133,35590,,68,69.6,133.1,-20.2,-20.2,154.8,4.3,69.6,133.1,2477064,14.72258455,08D,North Beach,1,O,1968,0,0,31,4,0,C2,A,0,0,26069,0,15503,,1000,1,0,0,10/1/13,0,2366058,3549088,0,3,North Beach
5286A/020,94124,91367,Non-Refrigerated Warehouse,8,28.8,89.2,107.8,107.8,198.4,2.2,29,89.3,2631369.6,14.78301503,10A,Bayview,31,IW,1982,0,0,24,2,1,M2,C,0,0,63468,0,125581,O,1018,1,0,0,5/29/90,0,2416142,9454477,0,10,Bayview Hunters Point
0976/001,94115,29920,Hotel,86,76.2,129.8,-34.2,-34.2,137.3,4.6,76.2,129.8,2279904,14.63964389,07B,Pacific Heights,7,H2,1907,0,0,76,4,1,RM2,D,0,0,28000,0,7496,,1000,1,0,0,4/30/97,1042458,332151,2524388,395009,2,Pacific Heights
5431A/016,94124,27440,Non-Refrigerated Warehouse,65,6.1,19.1,-21.6,-21.6,12.7,0.5,6.1,19.1,167384,12.02804585,10A,Bayview,32,IW,1995,0,0,0,1,0,M1,,48.77,0,27440,0,35082.81,,1018,1,0,0,,0,1311008,99942,0,10,Bayview Hunters Point
3654/041,94114,25187,Supermarket/Grocery Store,14,231,534.3,29.9,29.9,388.9,15.4,231.9,535.3,5818197,15.57650098,05C,Noe Valley,24,C,1968,0,0,5,1,1,24NOE,D,0,0,25361,0,29677,,1000,1,0,0,,0,745785,381078,0,8,Noe Valley
3616/005,94110,15300,Restaurant,84,230.6,266.7,-38.3,-38.3,191.5,12.5,236.9,273.3,3528180,15.07629272,09C,Inner ission,24,C,1926,0,0,0,2,0,,,0,0,12712,0,11762,,1000,1,0,0,,0,0,0,0,9,Mission
0293/005,94108,43354,Office,77,33.1,102.8,-30.6,-30.6,101.5,2.5,33.2,102.9,1435017.4,14.17668753,08I,,3,C,1909,0,0,46,6,3,C3R,C,0,0,40290,0,6873,O,1000,0.501,0,0,,0,259876,1348143,3186,3,Financial District/South Beach
0284/010,94108,41272,Hotel,60,103,176.8,-9.6,-9.6,256.6,6.2,103.4,176.7,4251016,15.26266857,08I,,3,H2,1907,0,0,113,7,96,C3R,C,0,0,41272,0,6847,,1000,1,0,0,11/14/12,0,11494983,5659763,0,3,Nob Hill
5325/012,94124,83296,Mixed Use Property,38,68.6,147.3,19.7,19.7,261.8,4.5,68.6,147.3,5714105.6,15.55844834,08B,Financial District North,5,H1,1966,0,NA,26,7,0,NC3,C,0,0,0,0,1191.8,,1000,1,0,0,,0,964090,134930,0,2,Marina
4167/003,94107,35044,Manufacturing/Industrial Plant,67,64.8,173.8,-17.9,NA,160.9,4.6,67.5,176.5,2270851.2,14.6356653,09E,Potrero Hill,27,I,1979,0,0,1,1,2,M1,S,0,0,25500,0,115238,O,1000,1,0,0,,0,1241342,1592700,0,10,Potrero Hill
0206/008,94111,155817,Office,93,51.8,125.1,-50.9,-50.9,548.8,3.5,51.8,125.1,8071320.6,15.90382767,08B,Financial District North,2,O,1929,0,0,315,8,1,C3O,B,0,0,159289,0,16774,,1000,1,0,0,8/22/11,0,25902621,14208187,0,3,Chinatown
3554/018,94103,19420,Mixed Use Property,89,30.9,61.6,-49.9,-49.9,38,2,32.3,63.1,600078,13.30481493,09C,Inner ission,23,C,1923,0,0,6,2,0,VALEN,C,0,0,14400,0,4996,,1000,1,0,0,,0,110046,62547,0,9,Mission
0018/005,94133,60000,Office,62,116.7,233.6,-12.6,-12.6,444.3,7.4,119.3,236.5,7002000,15.76170638,08H,North Waterfront,1,O,1969,0,0,64,4,1,C2,C,75,0,69204,0,37812.5,R,1000,1,0,0,,0,3004290,1186327,0,3,North Beach
0285/006,94108,375257,Medical Office,78,55.3,133.8,-38.2,-38.2,1008.7,3.8,57.2,135.8,20751712.1,16.84813931,08I,,3,O,1929,0,0,650,26,2,C3R,A,0,37.5,294416,0,23687,,1000,1,0,0,,1330329,12736490,4264144,560926,3,Financial District/South Beach
3508/039,94103,368280,Office,95,51.9,124.1,-54.5,-54.5,1188.9,3.5,52.7,124.8,19113732,16.76591759,09F,South of Market,23,O,1975,0,0,11,10,1,C3G,A,0,0,355120,0,0,,1000,1,0,0,3/11/11,0,9719647,22679178,0,6,South of Market
1541/040,94118,16500,Retail Store,29,38.1,119.6,29.5,29.5,38.2,2.9,38.1,119.6,628650,13.35132994,01B,Inner Richmond,11,C,1988,0,0,15,2,1,NC3,D,0,0,13232,0,16500,O,1000,1,5764274,0,9/14/60,134596,1960853,3803421,16979,1,Inner Richmond
2023/021,94122,13917,Office,57,43.4,136.4,-8.3,-8.3,33.1,3.3,43.8,137.6,603997.8,13.31132583,02E,Central Sunset,15,B,1975,0,0,9,2,1,NC2,B,0,0,13917,0,12305,O,1000,1,0,0,10/1/71,0,535752,2678766,0,4,Sunset/Parkside
