building_id,building_type,property_type_primary,zip,council_district_code,neighborhood,year_built,num_buildings,num_floors,gross_floor_area_total_SF,gross_floor_area_parking_SF,gross_floor_area_building_SF,property_types_all,property_type_first,gross_floor_area_property_type_first_SF,property_type_second,property_type_third,energy_star_score,site_eui_KBTUSF,weather_norm_site_eui_KBTUSF,source_eui_KBTUSF,weather_norm_source_eui_KBTUSF,total_site_energy_KBTU,weather_norm_total_site_energy_KBTU,steam_use_KBTU,electricity_KWH,electricity_KBTU,natural_gas_THERMS,natural_gas_KBTU,total_ghg_emissions_MTCO2e,ghg_intensity_KGCO2e,log_total_site_energy_KBTU
19742,NonResidential,Restaurant,98121,7,DOWNTOWN,1955,1,2,31020,0,31020,Restaurant,Restaurant,31020,,,1,160.1999969,168.6999969,250.5,259.3999939,4970047,5231756.5,0,358030.9063,1221601,37484.44922,3748445,207.6,6.69,15.41893985
19743,NonResidential,Small- and Mid-Sized Office,98121,7,DOWNTOWN,1917,1,2,21600,0,21600,"Office, Other - Lodging/Residential",Office,14400,Other - Lodging/Residential,,1,75.80000305,75.80000305,199.6999969,199.6999969,1636649.125,1636649.125,0,364005,1241985,3946.640625,394664,29.62,1.37,14.30816149
19746,NonResidential,Other,98121,7,DOWNTOWN,1946,1,1,23000,0,23000,"Office, Other",Other,20310,Office,,1,30.89999962,36.79999924,56.09999847,63.20000076,711118.375,845892.1875,0,76388.79688,260639,4504.796875,450480,25.74,1.12,13.47459419
19747,NonResidential,Small- and Mid-Sized Office,98121,7,DOWNTOWN,1974,1,5,61825,13320,48505,"Bank Branch, Office",Office,37993,Bank Branch,,57,104.0999985,112.5,205.6999969,212.8999939,4322873,4673727.5,0,561459.1875,1915699,24071.73828,2407174,141.2,2.28,15.27943079
19748,Multifamily HR (10+),High-Rise Multifamily,98121,7,DOWNTOWN,2001,1,16,590869,0,590869,"Multifamily Housing, Parking",Multifamily Housing,409137,Parking,,95,36.29999924,38.29999924,84,87.90000153,14856602,15683112,0,2632832,8983223,58733.78125,5873378,374.56,0.63,16.5139549
19749,Multifamily MR (5-9),Mid-Rise Multifamily,98121,7,DOWNTOWN,2001,1,7,145275,0,145275,Multifamily Housing,Multifamily Housing,103023,,,55,25.79999924,27.29999924,80.90000153,85.59999847,2653900,2809752.75,0,777813.5,2653900,0,0,18.5,0.13,14.79154081
19750,NonResidential,Small- and Mid-Sized Office,98121,7,DOWNTOWN,1942,1,3,64630,0,64630,Office,Office,64630,,,98,21.79999924,21.79999924,68.40000153,68.40000153,1408291.375,1408291.375,0,412746.5,1408291,0,0,9.82,0.15,14.15788774
19752,NonResidential,Worship Facility,98121,7,DOWNTOWN,1948,1,2,20920,0,20920,Worship Facility,Worship Facility,20920,,,9,49.79999924,57.79999924,80.80000305,89.09999847,1042108.5,1208581.375,0,83542.39844,285047,7570.620117,757062,42.19,2.02,13.85675662
19753,Multifamily LR (1-4),Low-Rise Multifamily,98121,7,DOWNTOWN,1903,1,3,26640,0,26640,"Multifamily Housing, Restaurant",Multifamily Housing,20840,Restaurant,,25,81.59999847,84.30000305,174.1999969,177,2173356.25,2245282.5,0,330755.1875,1128537,10448.19531,1044820,63.36,2.38,14.59178319
19754,Multifamily MR (5-9),Mid-Rise Multifamily,98109,7,DOWNTOWN,2009,1,7,40329,0,40329,"Food Service, Multifamily Housing, Office",Multifamily Housing,36514,Food Service,Office,1,93.80000305,97.59999847,165.3999939,169.5,3696784.75,3848387.25,0,370405,1263822,24329.62891,2432963,138.03,3.42,15.12297401
