"","report_status","ward","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","water_use","metered_areas_energy","metered_areas_water","electricity_use","natural_gas_use","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","total_site_energy_KBTU","log_total_site_energy_KBTU"
"1183","In Compliance","4","20012",2004,"Other - Recreation","Other - Recreation",81397,81397,7008.7,"Whole Building","Whole Building",2326623,47393.00117,NA,155.8,157,367.4,364.6,1132.3,13.9,12681652.6,16.3556668297113
"1184","In Compliance","2","20032",2010,"Office","Office",340000,340000,8307.4,"Whole Building","Whole Building",4473087,NA,95,44.9,44.9,141,141,1693,5,15266000,16.5411386913406
"1185","In Compliance","2","20019",2010,"Office","Office",229000,229000,8173.9,"Whole Building","Whole Building",4631091,NA,64,69,69,216.7,216.7,1752.8,7.7,15801000,16.5755837871336
"1186","In Compliance","5","20018",1983,"Non-Refrigerated Warehouse","Non-Refrigerated Warehouse",202829,202829,7260.1,"Whole Building","Whole Building",1297222.8,34142.9996,14,38.7,NA,85.9,NA,672.3,3.3,7849482.3,15.8759581385393
"1187","In Compliance","5","20002",1923,"K-12 School","K-12 School",110100,110100,2524.3,"Whole Building","Whole Building",700436,42216.0013,60,60,63.9,108.4,111.6,489.3,4.4,6606000,15.7034888849329
"1188","In Compliance","5","20010",2014,"Residence Hall/Dormitory","Other - Lodging/Residential",29752,29752,412.4,"Whole Building","Whole Building",542314,12447.99999,NA,104,105.9,239.2,241.2,271.4,9.1,3094208,14.9450425347463
"1189","In Compliance","6","20001",1962,"K-12 School","K-12 School",49500,49500,4224.2,"Whole Building","Whole Building",622413,19329.99676,29,82,84.2,175.7,176.9,338.3,6.8,4059000,15.216447195821
"1191","In Compliance","8","20032",1000,"Fitness Center/Health Club/Gym","Fitness Center/Health Club/Gym",39541,39541,270.3,"Whole Building","Whole Building",701894.6,18525.99945,NA,107.4,NA,234.9,NA,364.1,9.2,4246703.4,15.2616535693243
"1192","In Compliance","3","20016",1000,"Police Station","Police Station",43992,43992,5936.1,"Whole Building","Whole Building",1039173,12745.0001,NA,109.6,110.5,283.5,279.7,461,10.5,4821523.2,15.3886004527016
"1193","In Compliance","7","20019",2007,"Library","Library",22000,22000,1742.2,"Whole Building","Whole Building",968584,NA,NA,150.2,150.2,471.7,471.7,366.6,16.7,3304400,15.0107654716705
"1194","In Compliance","5","20002",1000,"Other - Public Services","Repair Services (Vehicle Shoe Locksmith etc.)",134114,134114,35.3,"Whole Building","Whole Building",185666,NA,NA,4.7,4.8,14.8,15.2,70.3,0.5,630335.8,13.3540079722382
"1195","In Compliance","6","20001",1000,"Office","Office",34400,34400,339.8,"Whole Building","Whole Building",770441,NA,73,76.4,76.4,239.9,239.9,291.6,8.5,2628160,14.781794539534
"1196","In Compliance","5","20002",1000,"Other - Recreation","Other - Recreation",26187,26187,5847.8,"Whole Building","Whole Building",884333,15076.00043,NA,172.8,174.6,422.2,419.6,414.8,15.8,4525113.6,15.3251532397734
"1197","Data under review by DOEE","6","20001",1977,"Office","Office",92327,75472,1401.3,"Whole Building","Whole Building",1628963,NA,56,73.6,72.3,231.2,226.9,637.4,8.4,5554739.2,15.5301620312589
"1198","In Compliance","6","20003",1964,"Multifamily Housing","Multifamily Housing",48064,48064,1662.9,"Whole Building","Whole Building",500400,23707.00115,23,84.8,86.9,163.3,164.3,315.3,6.6,4075827.2,15.2205842779217
"1199","In Compliance","1","20009",1967,"Multifamily Housing","Multifamily Housing",198000,198000,16012.8,"Whole Building","Whole Building",2133563,113088.0009,36,93.9,95.5,175.4,175.2,1408.2,7.1,18592200,16.7382526958909
"1200","In Compliance","2","20036",1998,"Hotel","Hotel",119781,104000,3937.1,"Whole Building","Whole Building",2218611,46548.61256,15,117.5,118.6,275.5,276.7,1115.4,10.7,12220000,16.3185845117077
"1201","In Compliance","6","20024",2006,"Multifamily Housing","Multifamily Housing",84328,102743,6116.3,"Whole Building","Whole Building",1312180,90324.69763,2,131.5,135.7,229.1,230.2,993.2,9.7,13510704.5,16.4189928551349
"1202","In Compliance","2","20006",1977,"Office","Office",297949,270860,5706.4,"Whole Building","Whole Building",5065045,NA,76,63.8,64.3,200.3,202.1,1981.9,7.3,17280868,16.6651105515601
"1203","In Compliance","6","20001",1954,"Office","Office",92327,82300,3066.8,"Whole Building","Whole Building",2489280,22761.83609,13,130.9,130.3,353.1,346.8,1094.9,13.3,10773070,16.192560059581
"1204","In Compliance","1","20009",1955,"Multifamily Housing","Multifamily Housing",55555,55818,890.5,"Whole Building","Whole Building",474411,26929.60405,51,77.2,78.8,141.7,141.8,328.7,5.9,4309149.6,15.2762511340273
"1205","In Compliance","2","20004",1963,"Office","Office",57083,56651,1347.2,"Whole Building","Whole Building",901816.2,14239.41216,88,79.5,80.9,196.9,196,428.5,7.6,4503754.5,15.3204219402113
"1206","In Compliance","5","20018",1971,"Multifamily Housing","Multifamily Housing",62664,62664,4665.6,"Whole Building","Whole Building",925097,49119.00127,8,128.8,132.5,240.5,242.7,611,9.8,8071123.2,15.9038032127173
"1207","In Compliance","6","20001",1965,"Multifamily Housing","Multifamily Housing",230989,230989,18324.3,"Whole Building","Whole Building",2400000,102907.999,30,80,82,158.1,160.2,1455,6.3,18479120,16.7321520039964
"1208","In Compliance","6","20024",1959,"Multifamily Housing","Multifamily Housing",196736,196736,21689,"Whole Building","Whole Building",2901900,174140.017,1,138.8,143,251,255.4,2023.3,10.3,27306956.8,17.1226520555309
"1209","In Compliance","2","20009",1964,"Mixed Use Property","Multifamily Housing",105370,105370,6065.2,"Whole Building","Whole Building",1104259,51207.00196,51,84.4,85.9,163.3,163.1,689.9,6.5,8893228,16.0008006461955
"1210","In Compliance","2","20005",1960,"Multifamily Housing","Multifamily Housing",101376,101376,4614.7,"Whole Building","Whole Building",1288520,42284.99949,18,85.1,86.8,180,180.2,712.3,7,8627097.6,15.9704186913134
"1211","In Compliance","6","20001",1966,"Multifamily Housing","Multifamily Housing",197648,197648,15469,"Whole Building","Whole Building",1521100,79941.00344,70,66.7,68.9,124.9,127.3,1000.3,5.1,13183121.6,16.3944479026982
"1212","In Compliance","2","20004",1963,"Office","Office",57083,50163,1008.6,"Whole Building","Combination of common and tenant areas",936363.4,14407.33447,57,92.4,94.7,230.1,230.1,442.9,8.8,4635061.2,15.3491599607784
"1213","In Compliance","2","20006",1990,"Office","Office",225792,168037,3282.9,"Whole Building","Whole Building",3630039,NA,63,73.7,73.7,231.4,231.4,1420.4,8.5,12384326.9,16.3319422714271
"1214","In Compliance","8","20020",1987,"Multifamily Housing","Multifamily Housing",76420,76420,4740.4,"Whole Building","Whole Building",1172002,21103.00381,7,79.9,80.3,193.3,191.1,555.7,7.3,6105958,15.6247755737731
"1215","In Compliance","2","20037",1991,"Mixed Use Property","Mixed Use Property",221853,145060,12584.2,"Whole Building","Whole Building",2120246,6253.55662,76,54.2,54.2,161.1,161.1,862.8,5.9,7862252,15.877583637363
"1217","In Compliance","2","20036",1916,"Multifamily Housing","Multifamily Housing",85251,85251,3006.2,"Whole Building","Whole Building",536400,41968.24202,73,70.7,73,119.1,119,432.8,5.1,6027245.7,15.6118006981848
"1218","In Compliance","2","20006",1969,"Office","Office",286694,198893,2570.3,"Whole Building","Whole Building",3407606,4106.925795,79,60.5,60.7,185.7,185.9,1355.2,6.8,12033026.5,16.3031656356949
"1219","In Compliance","7","20019",1974,"Multifamily Housing","Multifamily Housing",73698,50796,3831.8,"Whole Building","Whole Building",511629.8,38215.99511,44,109.6,112.8,186.9,188.1,403.2,7.9,5567241.6,15.5324102648228
"1221","In Compliance","1","20009",1929,"Multifamily Housing","Multifamily Housing",68079,68079,1649.2,"Whole Building","Whole Building",401219,19640.35789,90,49,49.7,93.4,94.2,261.3,3.8,3335871,15.0202443726484
"1222","In Compliance","3","20008",1946,"Multifamily Housing","Multifamily Housing",281555,2e+05,7163.6,"Whole Building","Whole Building",1160393,28096.91375,83,57.2,57,100.5,99.4,950.5,4.8,11440000,16.2526265439159
"1223","In Compliance","6","20024",1962,"Multifamily Housing","Multifamily Housing",305520,305520,17548.5,"Whole Building","Whole Building",2793193,162319.1514,27,84.3,87.1,153.7,155.3,1955.1,6.4,25755336,17.0641523869072
"1224","In Compliance","6","20001",1965,"Multifamily Housing","Multifamily Housing",83706,83706,6186.4,"Whole Building","Whole Building",823942,60947.99938,38,106.4,109.3,181.9,183.7,635.6,7.6,8906318.4,16.0022715154037
"1225","In Compliance","8","20020",1940,"Multifamily Housing","Multifamily Housing",54724,54724,2737.8,"Whole Building","Whole Building",238980,40797.52719,43,89.5,93,125.1,127.6,310.2,5.7,4897798,15.4042962743208
"1226","In Compliance","2","20036",1928,"Office","Office",239502,186119,7361.6,"Whole Building","Whole Building",4289555,NA,56,78.6,77.1,246.9,242.1,1678.4,9,14628953.4,16.4985132325016
"1227","In Compliance","6","20024",1950,"Multifamily Housing","Multifamily Housing",363870,550000,21503.1,"Whole Building","Whole Building",7658873,273532.0632,7,97.2,99.5,201.4,203.8,4449.7,8.1,53460000,17.794444268675
"1228","In Compliance","5","20011",2008,"Multifamily Housing","Multifamily Housing",127400,100266,4827.3,"Whole Building","Whole Building",1321424,NA,36,45,45,141.2,141.2,517.1,5.2,4511970,15.3222444232018
"1229","In Compliance","6","20003",1968,"Multifamily Housing","Multifamily Housing",349266,349266,32538,"Whole Building","Whole Building",2890128,220948.9698,7,91.5,94.4,155.1,158.1,2267.5,6.5,31957839,17.2799280608066
"1230","In Compliance","8","20020",1968,"Multifamily Housing","Multifamily Housing",106336,106336,6206.4,"Whole Building","Whole Building",562919,50291.13465,68,65.4,66.9,106.4,106.2,487.4,4.6,6954374.4,15.7548814296175
"1231","In Compliance","3","20016",1991,"Worship Facility","Worship Facility",73346,570000,14957,"Whole Building","Whole Building",8918558,NA,NA,53.4,52.5,167.6,164.8,3489.7,6.1,30438000,17.2312023857769
"1232","In Compliance","2","20036",1965,"Hotel","Hotel",84839,78744,5632.3,"Whole Building","Whole Building",727050.5,4158.594127,70,38.6,NA,106.3,NA,317.4,4,3039518.4,14.9272096397798
"1233","In Compliance","6","20024",1967,"Office","Office",80612,60000,246.6,"Whole Building","Whole Building",922803.4,NA,87,52.5,52.5,164.8,164.8,361.1,6,3150000,14.9629130108018
"1234","In Compliance","6","20002",2013,"Multifamily Housing","Multifamily Housing",422457,475268,19751.1,"Whole Building","Whole Building",4550813,81681.997,75,49.9,50.3,120.6,121.1,2214.5,4.7,23715873.2,16.9816551371937
"1235","In Compliance","5","20018",1978,"Multifamily Housing","Multifamily Housing",159839,159839,9664.2,"Whole Building","Whole Building",74857,43113.50075,100,28.6,29.7,33.3,34.4,258.3,1.6,4571395.4,15.3353290554324
"1236","In Compliance","7","20019",1985,"Distribution Center","Distribution Center",146331,86352,1119.1,"Whole Building","Whole Building",1119200,25408.70223,3,73.6,75.2,169.8,170.3,572.9,6.6,6355507.2,15.6648322705933
"1237","In Compliance","5","20018",1980,"Multifamily Housing","Multifamily Housing",246732,234922,11142.2,"Whole Building","Whole Building",1926455,31557.80016,89,41.4,41.7,102,102.2,921.4,3.9,9725770.8,16.090289703968
"1238","In Compliance","5","20002",1980,"Hotel","Hotel",99217,99217,6295.7,"Whole Building","Whole Building",1089709,26300.72524,35,64,64.5,145.5,145.6,566.1,5.7,6349888,15.6639477329181
"1239","In Compliance","2","20007",1979,"Multifamily Housing","Multifamily Housing",52581,52581,3937.2,"Whole Building","Whole Building",601553,NA,23,39,39,122.6,122.6,235.4,4.5,2050659,14.5336717628709
"1240","In Compliance","1","20009",1912,"Multifamily Housing","Multifamily Housing",84180,84000,7587.7,"Whole Building","Whole Building",940732,NA,69,38.2,36.9,120,115.7,368.1,4.4,3208800,14.981407593438
"1241","In Compliance","4","20012",1928,"Multifamily Housing","Multifamily Housing",72204,72204,3639.4,"Whole Building","Combination of common and tenant areas",665401.9,37925.72148,NA,84,86.2,153.9,156.3,461.8,6.4,6065136,15.6180675238517
"1242","In Compliance","3","20007",1959,"Multifamily Housing","Multifamily Housing",59225,59225,893.6,"Whole Building","Whole Building",443539,27721.00802,64,72.4,73.4,129.4,128.8,320.8,5.4,4287890,15.2713053284187
"1243","In Compliance","6","20001",1978,"Multifamily Housing","Multifamily Housing",59401,80000,5707.6,"Whole Building","Whole Building",1226728,NA,89,52.3,52.3,164.3,164.3,480,6,4184000,15.2467782847269
"1244","In Compliance","6","20002",2005,"Performing Arts","Performing Arts",53936,53936,349.5,"Whole Building","Whole Building",1282829,18108.12064,NA,114.7,113.8,290.1,285.3,598.1,11.1,6186459.2,15.6378734616092
"1245","Data under review by DOEE","2","20036",1975,"Office","Office",61863,61863,318.5,"Whole Building","Whole Building",491332.2,NA,98,27.1,27.1,85.1,85.1,192.3,3.1,1676487.3,14.332211269554
"1246","In Compliance","2","20005",1918,"Multifamily Housing","Multifamily Housing",50094,133225,2464.5,"Whole Building","Whole Building",1002174,9105.783014,84,32.5,33.3,87.8,88.6,440.5,3.3,4329812.5,15.2810347965007
"1247","In Compliance","2","20007",1976,"Office","Office",331720,244850,5278,"Whole Building","Whole Building",3327452,22.0000028,86,46.4,46.3,145.6,145.5,1302.1,5.3,11361040,16.2457005163627
"1248","In Compliance","1","20009",1920,"Multifamily Housing","Multifamily Housing",244643,169532,6980,"Whole Building","Whole Building",1310425,19535.92067,90,37.9,38.6,94.9,95,616.5,3.6,6425262.8,15.6757480906328
"1249","In Compliance","6","20003",2013,"Multifamily Housing","Multifamily Housing",269995,384480,7007.7,"Whole Building","Whole Building",4179597,135.8921461,68,37.1,37.1,116.5,116.5,1636.1,4.3,14264208,16.4732640205837
"1250","In Compliance","3","20007",1950,"Multifamily Housing","Multifamily Housing",70000,70000,2950.8,"Whole Building","Whole Building",1057090,5956.368381,NA,60,58.3,170.7,165,445.3,6.4,4200000,15.2505950832536
"1251","Data under review by DOEE","8","20032",1950,"K-12 School","K-12 School",53697,65431,412.4,"Whole Building","Whole Building",258749,465.27648,100,14.2,13.9,43.1,42.2,103.7,1.6,929120.2,13.7419933958633
"1253","In Compliance","5","20018",1982,"Distribution Center","Distribution Center",93480,89900,576.9,"Whole Building","Whole Building",1070048,12214.45454,52,54.2,54.5,141.8,139.9,483.6,5.4,4872580,15.3991341289053
"1254","In Compliance","3","20016",1925,"Multifamily Housing","Multifamily Housing",55896,55896,1967,"Whole Building","Whole Building",653519.1,18156.35418,NA,72.4,73.1,159.4,156.9,352.2,6.3,4046870.4,15.213454399624
"1255","In Compliance","3","20007",1957,"Multifamily Housing","Multifamily Housing",60736,61000,185,"Whole Building","Whole Building",840338,15656.2257,15,72.7,73.1,174.5,175,412,6.8,4434700,15.3049705276949
"1256","In Compliance","2","20005",1984,"Multifamily Housing","Multifamily Housing",57887,57887,3147.1,"Whole Building","Whole Building",717136,42708.67769,1,116,114.5,210.2,205.3,507.5,8.8,6714892,15.7198383044148
"1257","In Compliance","2","20007",1980,"Multifamily Housing","Multifamily Housing",127497,127263,6220.2,"Whole Building","Whole Building",1662886,15536.68852,12,56.8,58,152.8,154.1,733.2,5.8,7228538.4,15.793547416022
"1258","In Compliance","8","20020",1970,"Multifamily Housing","Multifamily Housing",70568,70568,6288.3,"Whole Building","Whole Building",576537,17472.10011,70,52.6,54.3,113.5,115.3,318.4,4.5,3711876.8,15.1270481826823
"1259","In Compliance","3","20015",1957,"Multifamily Housing","Multifamily Housing",131061,131061,4771.5,"Whole Building","Whole Building",1110629,29142.87944,75,51.1,51.5,114.1,112.8,589.4,4.5,6697217.1,15.7172026398671
"1260","In Compliance","2","20008",1903,"K-12 School","K-12 School",89326,70480,1477.9,"Whole Building","Whole Building",459634.1,15646.10745,89,44.5,46.5,93.2,94.4,263,3.7,3136360,14.9585734497823
"1262","In Compliance","2","20036",1917,"Worship Facility","Worship Facility",50233,50233,749.5,"Whole Building","Whole Building",740505.3,1113.147453,26,52.5,52.3,160.3,159.1,295.7,5.9,2637232.5,14.785240629822
"1263","In Compliance","2","20006",1897,"College/University","College/University",137024,176170,1549.1,"Whole Building","Whole Building",2243183,9163.997924,NA,85.5,89.4,186.2,190.9,1357,7.7,15062535,16.5277210928639
"1264","In Compliance","3","20015",1964,"Multifamily Housing","Multifamily Housing",113486,113486,8548,"Whole Building","Whole Building",1004872,60955.00259,43,83.9,85.5,151.3,151.1,704.1,6.2,9521475.4,16.0690603737511
"1265","In Compliance","5","20017",1985,"Multifamily Housing","Multifamily Housing",564700,346210,13368,"Whole Building","Whole Building",4615361,NA,19,45.5,45.5,142.8,142.8,1805.9,5.2,15752555,16.5725131323015
"1266","In Compliance","5","20002",1968,"Multifamily Housing","Multifamily Housing",196645,196645,20051.5,"Whole Building","Whole Building",2207481,137315.0023,1,108.1,110.2,193.6,193,1564.9,8,21257324.5,16.8722120762983
"1267","In Compliance","8","20032",2001,"Multifamily Housing","Multifamily Housing",88056,97506,6977.1,"Whole Building","Whole Building",770021,31124.59984,86,58.9,60.1,118.1,117.8,466.6,4.8,5743103.4,15.5635102842116
"1268","In Compliance","5","20002",1985,"Strip Mall","Strip Mall",187925,195000,1455.8,"Whole Building","Whole Building",3101767,745.0518138,NA,54.7,54.7,170.8,170.9,1217.6,6.2,10666500,16.1826185469738
"1269","In Compliance","2","20036",1966,"Multifamily Housing","Multifamily Housing",81630,81630,4183,"Whole Building","Whole Building",947535.4,32246.61897,52,79.1,80.4,165.8,165.6,542,6.6,6456933,15.680664995219
"1270","In Compliance","2","20009",2013,"Multifamily Housing","Multifamily Housing",347383,347383,8088.5,"Whole Building","Whole Building",5144144,55371.01068,5,66.5,66.2,175.4,173.6,2306.9,6.6,23100969.5,16.9553851443083
"1271","In Compliance","2","20007",1918,"Hotel","Hotel",59425,59425,4983.3,"Whole Building","Whole Building",1101970,37163.5205,8,125.8,126.6,264.3,261.4,628.6,10.6,7475665,15.8271636364947
"1272","In Compliance","2","20037",1939,"Multifamily Housing","Multifamily Housing",51614,68360,2564.2,"Whole Building","Whole Building",840338,21589.51689,50,73.5,73.5,164.9,164.9,443.5,6.5,5024460,15.4298285434483
"1273","In Compliance","1","20008",1910,"Multifamily Housing","Multifamily Housing",57223,57223,2453.9,"Whole Building","Whole Building",494418,30906.31844,34,83.5,84.5,149.3,145.3,357.6,6.2,4778120.5,15.3795578263071
"1274","In Compliance","6","20002",1960,"Office","Office",119015,119015,1200.6,"Whole Building","Whole Building",3721931,8942.999915,36,114.2,113.3,342.9,337.4,1456.2,12.2,13591513,16.4249561117921
"1275","In Compliance","2","20006",1982,"Office","Office",57976,49144,904.2,"Whole Building","Whole Building",969994.1,NA,46,67.3,67.3,211.5,211.3,379.5,7.7,3307391.2,15.0116702794944
"1277","In Compliance","3","20008",1930,"Multifamily Housing","Multifamily Housing",168367,168367,5100.3,"Whole Building","Whole Building",906248.3,57110.96071,74,52.3,54.1,93.3,95.2,657.9,3.9,8805594.1,15.9908977706629
"1278","In Compliance","2","20005",2006,"Office","Office",65823,78000,766.2,"Whole Building","Whole Building",2166978,NA,22,94.8,94.8,297.6,297.6,847.9,10.9,7394400,15.8162335149327
"1279","In Compliance","2","20037",2009,"Office","Office",368289,254704,7195.3,"Whole Building","Whole Building",6235773,9399.32697,50,87.2,87.6,266.2,266.4,2489.9,9.8,22210188.8,16.9160616965098
"1280","In Compliance","5","20018-2505",1972,"Multifamily Housing","Multifamily Housing",60516,60516,2571.7,"Whole Building","Whole Building",471934.9,71775.51669,5,145.2,149.8,208.1,212.9,565.9,9.4,8786923.2,15.9887751742554
"1281","In Compliance","5","20011",2008,"Multifamily Housing","Multifamily Housing",127400,100916,4211.9,"Whole Building","Whole Building",1169548,NA,54,39.5,39.5,124.2,124.2,457.6,4.5,3986182,15.1983444385218
"1282","In Compliance","5","20011",2008,"Multifamily Housing","Multifamily Housing",50877,54533,2397.7,"Whole Building","Whole Building",516457,NA,93,32.3,32.3,101.5,101.5,202.1,3.7,1761415.9,14.3816285322232
"1284","In Compliance","3","20016",2011,"K-12 School","K-12 School",102142,343797,4379.1,"Whole Building","Whole Building",3686900,100890.9985,85,65.9,67.3,144.1,144.7,1948.9,5.7,22656222.3,16.9359450873978
"1285","In Compliance","7","20019",1940,"Multifamily Housing","Multifamily Housing",231517,231517,7224.7,"Whole Building","Whole Building",673970,39807.00503,100,27.1,27.5,49.2,49.1,466.5,2,6274110.7,15.6519423118232
"1286","In Compliance","7","20019",1940,"Multifamily Housing","Multifamily Housing",18352,18352,1742.2,"Whole Building","Whole Building",95830,17665.00038,NA,114.1,119,157,162.2,130.1,7.1,2093963.2,14.5545690962372
"1287","In Compliance","3","20015",1948,"Multifamily Housing","Multifamily Housing",274794,264500,13412.7,"Whole Building","Whole Building",2641832,78714.20691,60,63.8,64,138.3,137.3,1451.8,5.5,16875100,16.6413497206312
"1288","In Compliance","5","20002",2008,"Hotel","Hotel",84180,84180,3719.4,"Whole Building","Whole Building",921503.3,20424.64498,88,61.6,62,142.8,143.1,469.1,5.6,5185488,15.461374512864
"1289","In Compliance","8","20032",1982,"Senior Care Community","Senior Care Community",50570,50570,6587.9,"Whole Building","Whole Building",1586804,45203.52737,13,196.5,198.9,430,432.4,861,17,9937005,16.1117762253833
"1290","In Compliance","3","20007",1957,"Other - Lodging/Residential","Other - Lodging/Residential",53671,53671,2319.9,"Whole Building","Whole Building",494851.7,19315.60325,NA,67.4,68.4,136.6,135.9,296.2,5.5,3617425.4,15.1012731152986
"1291","In Compliance","5","20002",1932,"Multifamily Housing","Multifamily Housing",73304,77160,277,"Whole Building","Whole Building",308764.8,43336.83178,62,69.8,72.5,101.8,104.1,351,4.5,5385768,15.499270476788
"1292","In Compliance","2","20036",1973,"Office","Office",171077,160898,9847.2,"Whole Building","Whole Building",2665169,NA,77,56.5,56.5,177.5,177.4,1042.8,6.5,9090737,16.0227665409748
"1293","In Compliance","3","20008",1928,"Multifamily Housing","Multifamily Housing",73555,73555,2325.6,"Whole Building","Whole Building",391353.6,31039.56609,89,60.4,63.6,101.3,103.5,318,4.3,4442722,15.3067778096251
"1294","In Compliance","2","20020",1995,"Multifamily Housing","Multifamily Housing",83924,83924,2267.1,"Whole Building","Whole Building",643241,14625.37279,91,43.6,44.1,100.4,101,329.4,3.9,3659086.4,15.1127240567316
"1295","In Compliance","7","20019",1964,"Multifamily Housing","Multifamily Housing",109256,109256,6616.5,"Whole Building","Whole Building",640211,59597.80243,69,74.5,76.2,120.1,120,567.1,5.2,8139572,15.9122481567438
"1296","In Compliance","3","20015",1964,"Mixed Use Property","Multifamily Housing",108616,108616,5674,"Whole Building","Whole Building",812265,46706.99955,56,68.5,70.2,125.3,125.1,565.9,5.2,7440196,15.8224077505483
"1297","In Compliance","1","20009",1912,"Multifamily Housing","Multifamily Housing",89530,84000,33.6,"Whole Building","Whole Building",652180,NA,91,26.5,26.5,83.2,83.2,255.2,3,2226000,14.6157168108176
"1298","In Compliance","2","20001",2014,"Office","Office",102133,112632.7,1574.4,"Whole Building","Whole Building",2227956,NA,58,67.5,67.5,211.9,211.9,871.8,7.7,7602707.25,15.8440149589316
"1299","In Compliance","2","20006",1900,"Multifamily Housing","Multifamily Housing",218435,165094,6532.9,"Whole Building","Whole Building",2352024,4444.20125,24,51.3,50.4,155.5,152.7,943.9,5.7,8469322.2,15.9519610398134
"1300","In Compliance","2","20036",1967,"Other - Lodging/Residential","Other - Lodging/Residential",68133,68116,2954.9,"Whole Building","Whole Building",635883.6,14928.24189,NA,53.8,53.9,123,121.4,328.1,4.8,3664640.8,15.1142408803142
"1301","In Compliance","7","20019",1960,"Multifamily Housing","Multifamily Housing",177520,177520,18660.2,"Whole Building","Whole Building",1696614,129803.9935,35,105.7,108.6,179.2,180.6,1331.6,7.5,18763864,16.7474434504827
"1302","In Compliance","1","20009",1923,"Multifamily Housing","Multifamily Housing",277426,295600,14950.4,"Whole Building","Whole Building",2105265,104928.6194,64,59.8,60.1,113.6,111.4,1381.1,4.7,17676880,16.6877681290128
"1303","In Compliance","1","20009",1930,"Multifamily Housing","Multifamily Housing",82858,67313,2528,"Whole Building","Whole Building",359302,49686.708,32,92,96.5,134.7,139.4,404.5,6,6192796,15.6388972389611
"1304","In Compliance","2","20007",1918,"K-12 School","K-12 School",80278,75128,544.3,"Whole Building","Whole Building",1001891,27341.21519,34,81.9,84.3,181.1,183.6,537.2,7.2,6152983.2,15.6324475953435
"1305","In Compliance","2","20005-5504",2009,"Hotel","Hotel",183223,122841,7776.1,"Whole Building","Whole Building",2919192,93678.6282,17,157.3,157.6,334.7,331.7,1639.8,13.3,19322889.3,16.7768009252566
"1306","In Compliance","2","20005-3301",2000,"Hotel","Hotel",183541,150800,9167.4,"Whole Building","Whole Building",2971226,50347.64322,42,100.6,99.9,246.1,242.5,1430,9.5,15170480,16.5348619922216
"1307","In Compliance","2","20036",1895,"Worship Facility","Worship Facility",52328,68146,353.7,"Whole Building","Whole Building",743593,17102.07408,17,62.3,64.8,143.3,144.4,381.8,5.6,4245495.8,15.2613691671383
"1308","In Compliance","7","20019",2012,"Multifamily Housing","Multifamily Housing",89423,89423,2761.7,"Whole Building","Whole Building",865925,3615.946191,64,37.1,37.3,108,108.3,358,4,3317593.3,15.0147501683801
"1309","In Compliance","6","20003",2011,"Multifamily Housing","Multifamily Housing",158188,208969,4519,"Whole Building","Whole Building",1835511,39442.10341,47,48.8,49.5,113.9,114.6,927.7,4.4,10197687.2,16.1376715074459
"1310","In Compliance","2","20037",1977,"Office","Office",209866,207081,2621.6,"Whole Building","Whole Building",3684799,NA,78,60.7,60.3,190.6,189.2,1441.8,7,12569816.7,16.3468089981212
"1311","In Compliance","6","20002-3408",1990,"Manufacturing/Industrial Plant","Manufacturing/Industrial Plant",62023,62032,422.6,"Whole Building","Whole Building",521273,19323.94051,NA,59.8,61.7,122.7,123.7,306.6,4.9,3709513.6,15.1264113208673
"1313","In Compliance","1","20009",2012,"Multifamily Housing","Multifamily Housing",255728,255728,6253.5,"Whole Building","Whole Building",2960722,10321.90624,46,43.5,43.7,128.3,128.5,1213.3,4.7,11124168,16.2246305967031
"1314","In Compliance","6","20024",1971,"Multifamily Housing","Multifamily Housing",1037766,381600,9720.4,"Whole Building","Whole Building",3657396,200737.9193,27,85.3,86.8,157.9,157.5,2497.3,6.5,32550480,17.2983026730539
"1315","In Compliance","2","20005",1969,"Office","Office",666961,505079.1,7779,"Whole Building","Whole Building",12787930,39728.36111,NA,94.3,93.9,279.5,277.5,5214.8,10.3,47628959.13,17.6789515192945
"1316","In Compliance","6","20024",1971,"Multifamily Housing","Multifamily Housing",1037766,53000,1325.8,"Whole Building","Whole Building",498812.6,27373.44208,19,83.8,85.2,155.1,154.6,340.6,6.4,4441400,15.3064802000223
"1317","In Compliance","2","20036",1947,"Hotel","Hotel",192274,157000,7301.2,"Whole Building","Whole Building",4400284,150715.0982,10,191.6,194.2,401.1,401.6,2522.3,16.1,30081200,17.2194109498672
"1318","In Compliance","6","20024",1965,"Multifamily Housing","Multifamily Housing",1037766,100326,6046.3,"Whole Building","Whole Building",966434.6,60275.76169,12,92.9,95.5,166.3,165.6,698.3,7,9320285.4,16.0477038085105
"1319","In Compliance","6","20003",2006,"Hotel","Hotel",121000,121220,5615.6,"Whole Building","Whole Building",1920359,33395.38218,60,81.6,81.6,198.7,197.6,928.8,7.7,9891552,16.1071916174753
"1320","In Compliance","3","20007",1973,"Hotel","Hotel",138253,119561,5753.2,"Whole Building","Whole Building",1442805,33261.71048,77,69,68.9,158.5,158.1,741.2,6.2,8249709,15.9256884849615
