"","report_status","ward","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","water_use","metered_areas_energy","metered_areas_water","electricity_use","natural_gas_use","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","total_site_energy_KBTU","log_total_site_energy_KBTU"
"142","In Compliance","2","20052",1940,"Residence Hall/Dormitory","Residence Hall/Dormitory",62271,61135,2811.2,"Whole Building","Whole Building",512696.8,36085.31444,64,87.6,90.3,151.8,153.3,392.3,6.4,5355426,15.4936208105206
"143","In Compliance","2","20052",1960,"Residence Hall/Dormitory","Residence Hall/Dormitory",104970,70625,2551.8,"Whole Building","Whole Building",778588.2,18116.01679,72,63.3,64.4,145,146.2,400.9,5.7,4470562.5,15.3130247975989
"144","In Compliance","2","20052",2002,"Mixed Use Property","Mixed Use Property",240742,254162,6358,"Whole Building","Whole Building",4087106,56380.3455,NA,77.1,77.8,195.6,196.4,1898.7,7.5,19595890.2,16.7908304185406
"145","In Compliance","6","20024",1991,"Office","Office",899096,659773,8692,"Whole Building","Whole Building",11450010,17865.85391,88,61.9,61.5,188.8,186.6,4575.1,6.9,40839948.7,17.5251712951385
"146","In Compliance","2","20006",1982,"Office","Office",480875,411597,9891.4,"Whole Building","Whole Building",12142080,19621.33835,55,105.4,105.4,321.1,321.1,4855.3,11.8,43382323.8,17.585562630393
"147","In Compliance","2","20036",1962,"Office","Office",147542,122460,1371.8,"Whole Building","Whole Building",1392371,48680.30828,84,78.5,80,163.6,163.3,803.4,6.6,9613110,16.0786383498203
"148","In Compliance","2","20052",2005,"Office","Office",401661,401661,7645.9,"Whole Building","Whole Building",6776322,NA,83,57.6,57.6,180.7,180.7,2651.5,6.6,23135673.6,16.9568862959573
"149","In Compliance","2","20005",2002,"Office","Office",175784,141677.5,2756,"Whole Building","Whole Building",3705934,NA,49,89.2,89.2,280.2,280.2,1450.1,10.2,12637633,16.3521896664889
"150","In Compliance","2","20002",2001,"Office","Office",502963,411655,6829.8,"Whole Building","Whole Building",8482765,NA,71,70.3,70.3,220.8,220.8,3319.2,8.1,28939346.5,17.1807126977102
"151","In Compliance","2","20002",1962,"Office","Office",121709,81625,2294.9,"Whole Building","Whole Building",1050658,27674.51764,75,77.8,80,173.5,174.5,558.1,6.8,6350425,15.6640322977631
"152","In Compliance","1","20009",1957,"Office","Office",421810,319977,7746.3,"Whole Building","Whole Building",4346395,119706.3878,77,83.8,86.7,184.8,186.5,2336.5,7.3,26814072.6,17.1044374046808
"153","In Compliance","1","20037",1961,"Office","Office",519484,404202,5523.8,"Whole Building","Whole Building",5660182,147784.0989,81,84.3,87.3,188.4,190.8,2999.7,7.4,34074228.6,17.3440518969927
"154","In Compliance","2","20006",2000,"Office","Office",231809,231164,3014.2,"Whole Building","Whole Building",3736250,NA,78,55.1,55.1,173.2,173.2,1461.9,6.3,12737136.4,16.3600324104727
"155","In Compliance","2","20002",1963,"Office","Office",127650,105891,2613.2,"Whole Building","Whole Building",1848716,17603.25637,65,76.2,78.1,204.5,206.5,816.9,7.7,8068894.2,15.9035270048349
"156","In Compliance","2","20006",1971,"Office","Office",453352,293912,9084.3,"Whole Building","Whole Building",5883414,NA,62,68.3,68.3,214.5,214.5,2302.1,7.8,20074189.6,16.8149454483646
"157","In Compliance","2","20006",2000,"Office","Office",32529,32529,76.2,"Whole Building","Whole Building",871871.9,NA,23,91.5,92.1,287.2,289.2,341.2,10.5,2976403.5,14.9062262504218
"158","Data under review by DOEE","6","20001",2001,"Office","Office",278640,275102,2818.1,"Whole Building","Whole Building",2914044,NA,NA,36.1,36.1,113.5,113.5,1140.2,4.1,9931182.2,16.1111900823087
"159","In Compliance","2","20005",1988,"Office","Office",360016,258655,4012.8,"Whole Building","Whole Building",4700368,NA,77,62,62,194.7,194.7,1839.2,7.1,16036610,16.5903847914324
"160","In Compliance","6","20024",1968,"Office","Office",539713,443078,4840.9,"Whole Building","Whole Building",6931224,NA,86,53.4,53.1,167.6,166.7,2712.1,6.1,23660365.2,16.9793118517293
"161","In Compliance","2","20005",1982,"Office","Office",339406,238444,4199.2,"Whole Building","Whole Building",4578775,NA,77,65.5,65.5,205.7,205.7,1791.6,7.5,15618082,16.5639399035431
"162","In Compliance","6","20003",2003,"Office","Office",409428,303517,11530.6,"Whole Building","Whole Building",6427843,13609.77395,84,76.7,76.1,231.6,228.9,2587.4,8.5,23279753.9,16.9630946094658
"164","In Compliance","2","20036",1960,"Office","Office",165374,109926,1669.9,"Whole Building","Whole Building",1403668,18629.2109,91,60.5,61.1,154.6,153.6,648.2,5.9,6650523,15.7102060561561
"165","In Compliance","2","20036",1965,"Office","Office",439521,338520,2873.6,"Whole Building","Whole Building",8212770,47919.43733,86,96.9,98,274.8,274.8,3468.1,10.2,32802588,17.3060179726808
